
         10692900 function calls (9261265 primitive calls) in 55.373 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:295(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:299(__call__)
        1    0.000    0.000    0.000    0.000 __init__.py:299(loads)
        1    0.000    0.000    0.000    0.000 __init__.py:301(SettingWithCopyWarning)
    24696    0.010    0.000    0.017    0.000 __init__.py:31(__get__)
     5936    0.011    0.000    0.105    0.000 __init__.py:311(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:313(_CountryTimezoneDict)
     5936    0.005    0.000    0.012    0.000 __init__.py:315(__enter__)
     5936    0.004    0.000    0.009    0.000 __init__.py:318(__exit__)
        1    0.000    0.000    0.000    0.000 __init__.py:323(ChainedAssignmentError)
        1    0.000    0.000    0.000    0.000 __init__.py:33(PerformanceWarning)
        8    0.000    0.000    0.000    0.000 __init__.py:33(using_copy_on_write)
        1    0.000    0.000    0.000    0.000 __init__.py:331(Version)
     2636    0.009    0.000    0.019    0.000 __init__.py:333(__init__)
        8    0.000    0.000    0.000    0.000 __init__.py:334(__init__)
        2    0.000    0.000    0.001    0.001 __init__.py:340(__init__)
       27    0.000    0.000    0.000    0.000 __init__.py:343(<genexpr>)
     1110    0.068    0.000    0.181    0.000 __init__.py:345(namedtuple)
     1650    0.001    0.000    0.001    0.000 __init__.py:358(getMessage)
        1    0.000    0.000    0.000    0.000 __init__.py:360(NumExprClobberingError)
        2    0.000    0.000    0.000    0.000 __init__.py:368(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:372(_CountryNameDict)
        1    0.000    0.000    0.000    0.000 __init__.py:379(UndefinedVariableError)
        1    0.000    0.000    0.001    0.001 __init__.py:384(__getattr__)
        2    0.000    0.000    0.000    0.000 __init__.py:385(get_device_properties)
        1    0.000    0.000    0.000    0.000 __init__.py:39(UnsupportedFunctionCall)
        1    0.001    0.001    0.001    0.001 __init__.py:391(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:398(_FixedOffset)
        1    0.000    0.000    0.000    0.000 __init__.py:405(IndexingError)
        1    0.000    0.000    0.000    0.000 __init__.py:412(dev)
     6657    0.002    0.000    0.002    0.000 __init__.py:419(<genexpr>)
     1650    0.002    0.000    0.003    0.000 __init__.py:421(usesTime)
        1    0.000    0.000    0.000    0.000 __init__.py:426(PyperclipException)
     1650    0.003    0.000    0.003    0.000 __init__.py:429(_format)
     1650    0.001    0.000    0.004    0.000 __init__.py:432(format)
        1    0.000    0.000    0.000    0.000 __init__.py:434(PyperclipWindowsException)
       14    0.000    0.000    0.003    0.000 __init__.py:438(flex_arith_method_FRAME)
        1    0.000    0.000    0.000    0.000 __init__.py:448(CSSWarning)
    21088    0.010    0.000    0.010    0.000 __init__.py:46(__getattr__)
       24    0.000    0.000    0.000    0.000 __init__.py:465(_parse_letter_version)
        1    0.000    0.000    0.000    0.000 __init__.py:467(PossibleDataLossError)
        1    0.000    0.000    0.000    0.000 __init__.py:47(UnsortedIndexError)
        1    0.000    0.000    0.000    0.000 __init__.py:479(ClosedFileError)
        6    0.000    0.000    0.001    0.000 __init__.py:480(flex_comp_method_FRAME)
        1    0.000    0.000    0.000    0.000 __init__.py:492(IncompatibilityWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:498(AttributeConflictWarning)
        8    0.000    0.000    0.000    0.000 __init__.py:503(_parse_local_version)
        1    0.000    0.000    0.000    0.000 __init__.py:508(DatabaseError)
        3    0.000    0.000    0.000    0.000 __init__.py:509(cast)
        8    0.000    0.000    0.000    0.000 __init__.py:515(_cmpkey)
        1    0.000    0.000    0.000    0.000 __init__.py:521(PossiblePrecisionLoss)
        8    0.000    0.000    0.000    0.000 __init__.py:529(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:536(ValueLabelTypeMismatch)
        1    0.000    0.000    0.000    0.000 __init__.py:548(InvalidColumnName)
        1    0.000    0.000    0.000    0.000 __init__.py:55(ParserError)
        1    0.000    0.000    0.000    0.000 __init__.py:563(CategoricalConversionWarning)
      283    0.000    0.000    0.001    0.000 __init__.py:57(find_spec)
        1    0.000    0.000    0.000    0.000 __init__.py:577(LossySetitemError)
        1    0.000    0.000    0.000    0.000 __init__.py:58(NegativeInfinityType)
       12    0.000    0.000    0.000    0.000 __init__.py:581(get_default_args)
        1    0.000    0.000    0.000    0.000 __init__.py:583(NoBufferPresent)
        1    0.000    0.000    0.000    0.000 __init__.py:589(InvalidComparison)
       12    0.000    0.000    0.000    0.000 __init__.py:592(<dictcomp>)
     1650    0.002    0.000    0.004    0.000 __init__.py:628(usesTime)
     1650    0.001    0.000    0.005    0.000 __init__.py:634(formatMessage)
       13    0.000    0.000    0.000    0.000 __init__.py:644(colorstr)
     1650    0.004    0.000    0.015    0.000 __init__.py:650(format)
     3300    0.003    0.000    0.011    0.000 __init__.py:672(current_device)
     3300    0.016    0.000    1.390    0.000 __init__.py:678(synchronize)
        1    0.000    0.000    0.000    0.000 __init__.py:69(DtypeWarning)
       39    0.000    0.000    0.000    0.000 __init__.py:693(<genexpr>)
     1318    0.001    0.000    0.002    0.000 __init__.py:7(is_available)
        3    0.000    0.000    0.000    0.000 __init__.py:721(__init__)
     1650    0.001    0.000    0.001    0.000 __init__.py:751(filter)
     1100    0.002    0.000    0.004    0.000 __init__.py:78(cfg2dict)
